The email aais ALREADY IN USE
,2025-05-27 15:56:57
LOGIN Bogdan,2025-05-27 15:57:43
addRestaurant,2025-05-27 16:06:49
Show Restaurants,2025-05-27 16:08:58
Show Restaurants,2025-05-27 16:09:08
Show Restaurants,2025-05-27 16:09:29
Show Restaurants,2025-05-27 16:10:03
Product 'produs test audit' ADDED successfully to 'restaurant test audit'!,2025-05-27 16:10:05
Show Restaurants,2025-05-27 16:10:19
Show Restaurants,2025-05-27 16:10:21
LOGOUT Bogdan,2025-05-27 16:10:43
LOGIN Bogdan,2025-05-27 16:16:51
Show Restaurants,2025-05-27 16:16:53
Show Restaurants,2025-05-27 16:17:02
Restaurant 'restaurant test audit' REMOVED successfully,2025-05-27 16:17:08
Show Restaurants,2025-05-27 16:17:24
